web-scraper-order,web-scraper-start-url,name_of_location,food_address,phone_number,food_availability,food_coordinates,food_coordinates-href
"1588275637-975","https://ccfoodbank.org/food-locator/","","","","Open 2nd Thursday and 4th Thursday, 9am - 11am","",""
"1588275637-1039","https://ccfoodbank.org/food-locator/","","","","Open Closed Pantry","",""
"1588275637-1024","https://ccfoodbank.org/food-locator/","","","","Open 2nd Tuesday, 9:00am -12:00pm","",""
"1588275637-578","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-664","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-786","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-1155","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.3322886,%20-119.6445435)"
"1588275637-561","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-446","https://ccfoodbank.org/food-locator/","","712 E. Washington St.   Earlimart,  CA 93219","","","",""
"1588275637-369","https://ccfoodbank.org/food-locator/","","849 Skyline Blvd.  Avenal,  CA 93204","","","",""
"1588275637-47","https://ccfoodbank.org/food-locator/","Easton Apostolic Church","","","","",""
"1588275637-704","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-972","https://ccfoodbank.org/food-locator/","","","","Open Closed Pantry","",""
"1588275637-1269","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7878265,%20-119.7560281)"
"1588275637-468","https://ccfoodbank.org/food-locator/","","115 W. 5th St.  Hanford,  CA 93230","","","",""
"1588275637-342","https://ccfoodbank.org/food-locator/","","1639 West Shields Ave.  Fresno,  CA 93705","","","",""
"1588275637-1049","https://ccfoodbank.org/food-locator/","","","","Open Student Pantry Open to West Hills College Students only","",""
"1588275637-996","https://ccfoodbank.org/food-locator/","","","","Open 1st Monday, 10am - 12pm","",""
"1588275637-224","https://ccfoodbank.org/food-locator/","The Salvation Army San Joaquin - USDA","","","","",""
"1588275637-1068","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.696645,%20-119.5575075)"
"1588275637-537","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-1287","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.332636,%20-119.640909)"
"1588275637-360","https://ccfoodbank.org/food-locator/","","980 Gettysburg Aven  Fresno,  CA 93612","","","",""
"1588275637-900","https://ccfoodbank.org/food-locator/","","","","Open 2nd Monday/ 4th Monday, 9am - 11am","",""
"1588275637-920","https://ccfoodbank.org/food-locator/","","","","Open Monday - Thursday, 9am - 1pm (walk-up window)","",""
"1588275637-484","https://ccfoodbank.org/food-locator/","","3438 E. Ashlan Ave.  Fresno,  CA 93726","","","",""
"1588275637-948","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-815","https://ccfoodbank.org/food-locator/","","","","Open 4th Wednesday, 9am - 12pm","",""
"1588275637-133","https://ccfoodbank.org/food-locator/","Madera Coalition for Community Justice at New LIfe Church","","","","",""
"1588275637-153","https://ccfoodbank.org/food-locator/","New London First Pentecostal Church","","","","",""
"1588275637-929","https://ccfoodbank.org/food-locator/","","","","Open Closed Pantry","",""
"1588275637-1023","https://ccfoodbank.org/food-locator/","","","","Open Mondays & Fridays, 10am -12pm, Thursdays, 10am -12pm (For emergencies)","",""
"1588275637-1230","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.0511052,%20-118.9892111)"
"1588275637-29","https://ccfoodbank.org/food-locator/","Central Bilingual SDA Church - Neighborhood Market","","","","",""
"1588275637-585","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-553","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-859","https://ccfoodbank.org/food-locator/","","","","Open Every Wednesday, Thursday & Friday, 10am - 1pm","",""
"1588275637-26","https://ccfoodbank.org/food-locator/","Catholic Charites - Pantry","","","","",""
"1588275637-661","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-219","https://ccfoodbank.org/food-locator/","The Fresno Center","","","","",""
"1588275637-489","https://ccfoodbank.org/food-locator/","","210 E Barstow Ave,   Clovis,  CA 93612","","","",""
"1588275637-1053","https://ccfoodbank.org/food-locator/","","","","Open 2nd
Tuesdays, 6pm -8pm","",""
"1588275637-1302","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.3386933,%20-119.639189)"
"1588275637-702","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-1026","https://ccfoodbank.org/food-locator/","","","","Open 3rd Wednesday, 1pm- 4pm","",""
"1588275637-981","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-530","https://ccfoodbank.org/food-locator/","","7886 N. Millbrook Ave.  Fresno,  CA 93720","","","",""
"1588275637-596","https://ccfoodbank.org/food-locator/","","","559-441-1661","","",""
"1588275637-782","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-145","https://ccfoodbank.org/food-locator/","Mt. Valley Community Church - USDA","","","","",""
"1588275637-136","https://ccfoodbank.org/food-locator/","Madera Yosemite Christian Center","","","","",""
"1588275637-278","https://ccfoodbank.org/food-locator/","","4925 N. 7th Ave.  Biola,  CA 93606","","","",""
"1588275637-1123","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5635697,%20-119.6111802)"
"1588275637-872","https://ccfoodbank.org/food-locator/","","","","Open 1st Wednesday, 8:30am  - 10:30am","",""
"1588275637-597","https://ccfoodbank.org/food-locator/","","","559-237-3663 Ext. 1108","","",""
"1588275637-519","https://ccfoodbank.org/food-locator/","","3014 W. McKinley Ave.  Fresno,  CA 93722","","","",""
"1588275637-767","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-654","https://ccfoodbank.org/food-locator/","","","559-789-6259","","",""
"1588275637-444","https://ccfoodbank.org/food-locator/","","41760 Road 130  Orosi,  CA 93647","","","",""
"1588275637-1264","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.1337416,%20-118.8129973)"
"1588275637-120","https://ccfoodbank.org/food-locator/","Lanare Community Center - Neighborhood Market","","","","",""
"1588275637-836","https://ccfoodbank.org/food-locator/","","","","Open Tuesday, 3/31: 9am until food runs out","",""
"1588275637-1272","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.6574885,%20-119.5964619)"
"1588275637-775","https://ccfoodbank.org/food-locator/","","","559-936-2665","","",""
"1588275637-375","https://ccfoodbank.org/food-locator/","","1917 W. Inyo Ave.  Tulare,  CA 93274","","","",""
"1588275637-122","https://ccfoodbank.org/food-locator/","Lemoore Christian Aid","","","","",""
"1588275637-819","https://ccfoodbank.org/food-locator/","","","","Open 2nd Monday of each month, 10am-12pm","",""
"1588275637-794","https://ccfoodbank.org/food-locator/","","","559-655-4808","","",""
"1588275637-644","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-533","https://ccfoodbank.org/food-locator/","","","Telephone placeholder.","","",""
"1588275637-91","https://ccfoodbank.org/food-locator/","Hanford Salvation Army","","","","",""
"1588275637-680","https://ccfoodbank.org/food-locator/","","","559-452-1100","","",""
"1588275637-413","https://ccfoodbank.org/food-locator/","","4368 North Brawley   Fresno,  CA 93722","","","",""
"1588275637-758","https://ccfoodbank.org/food-locator/","","","559-233-0138","","",""
"1588275637-557","https://ccfoodbank.org/food-locator/","","","559-772-5104","","",""
"1588275637-1332","https://ccfoodbank.org/food-locator/","","","","","Street View","https://ccfoodbank.org/food-locator/#streetview"
"1588275637-253","https://ccfoodbank.org/food-locator/","West McKinley Assembly of  God - Pantry","","","","",""
"1588275637-762","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-37","https://ccfoodbank.org/food-locator/","Clearview Outreach Church","","","","",""
"1588275637-318","https://ccfoodbank.org/food-locator/","","690 Sixth Street, O  Orange Cove,  CA 93646","","","",""
"1588275637-965","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-314","https://ccfoodbank.org/food-locator/","","16101 South Derrick Ave.  Cantua Creek,  CA 93608","","","",""
"1588275637-66","https://ccfoodbank.org/food-locator/","Firebaugh Rodeo Grounds - Neighborhood Market","","","","",""
"1588275637-269","https://ccfoodbank.org/food-locator/","","1511 14th St.  Sanger,  CA 93657","","","",""
"1588275637-77","https://ccfoodbank.org/food-locator/","Fresno EOC @ LCC","","","","",""
"1588275637-236","https://ccfoodbank.org/food-locator/","Valley Christian Center","","","","",""
"1588275637-997","https://ccfoodbank.org/food-locator/","","","","Open 3rd Thursday, 10am - 1pm","",""
"1588275637-407","https://ccfoodbank.org/food-locator/","","5015 E Olive, Fresn  Fresno,  CA 93727","","","",""
"1588275637-187","https://ccfoodbank.org/food-locator/","Selma COM (Selma Community Outreach Ministries)","","","","",""
"1588275637-885","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-1286","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.1990003,%20-120.1042746)"
"1588275637-181","https://ccfoodbank.org/food-locator/","Saints Community Church - USDA","","","","",""
"1588275637-72","https://ccfoodbank.org/food-locator/","Fountain of Life Corcoran - Neighborhood Market","","","","",""
"1588275637-129","https://ccfoodbank.org/food-locator/","Lincoln Park - IPC Selma","","","","",""
"1588275637-582","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-528","https://ccfoodbank.org/food-locator/","","1709 Seventh St, Me  Mendota,  CA 93640","","","",""
"1588275637-1251","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.707355,%20-119.797933)"
"1588275637-727","https://ccfoodbank.org/food-locator/","","","559-923-4935","","",""
"1588275637-542","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-539","https://ccfoodbank.org/food-locator/","","","559-386-4500 ext. 1023","","",""
"1588275637-1075","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(37.1264117,%20-119.4453578)"
"1588275637-249","https://ccfoodbank.org/food-locator/","Wesley United Methodist Church","","","","",""
"1588275637-878","https://ccfoodbank.org/food-locator/","","","","Open 4th Wednesday, 8:45am - 11am","",""
"1588275637-470","https://ccfoodbank.org/food-locator/","","4147 E. Dakota Ave.  Fresno,  CA 93726","","","",""
"1588275637-174","https://ccfoodbank.org/food-locator/","REACH","","","","",""
"1588275637-1318","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7653071,%20-119.8456288)"
"1588275637-1010","https://ccfoodbank.org/food-locator/","","","","Open 2nd Wednesday, 8:30am - 10:30am","",""
"1588275637-592","https://ccfoodbank.org/food-locator/","","","559-732-5941","","",""
"1588275637-1067","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(35.854474,%20-119.3910625)"
"1588275637-496","https://ccfoodbank.org/food-locator/","","41673 N.. Fork Dr.  Rivers,  CA 93271","","","",""
"1588275637-764","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-71","https://ccfoodbank.org/food-locator/","First Presbyterian Church of Lemon Cove","","","","",""
"1588275637-703","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-419","https://ccfoodbank.org/food-locator/","","37883 Kate Rd.  Dinuba,  CA 93618","","","",""
"1588275637-988","https://ccfoodbank.org/food-locator/","","","","Open 1st Friday, 3-5 p.m.","",""
"1588275637-79","https://ccfoodbank.org/food-locator/","Fresno Spanish SDA - USDA","","","","",""
"1588275637-212","https://ccfoodbank.org/food-locator/","Streetlight Ministries","","","","",""
"1588275637-921","https://ccfoodbank.org/food-locator/","","","","Open 2nd & 4th Saturday, 8am - 9am","",""
"1588275637-1","https://ccfoodbank.org/food-locator/","Placeholder store name.","","","","",""
"1588275637-712","https://ccfoodbank.org/food-locator/","","","661-849-3950","","",""
"1588275637-987","https://ccfoodbank.org/food-locator/","","","","Open Tuesdays 10:30am – 12:00pm for emergency food boxes","",""
"1588275637-711","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-1280","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5910895,%20-119.6307693)"
"1588275637-638","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-154","https://ccfoodbank.org/food-locator/","North Fork Grace Community Church - Mobile Pantry","","","","",""
"1588275637-1164","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.3292226,%20-119.6439927)"
"1588275637-1303","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7673151,%20-119.7329669)"
"1588275637-759","https://ccfoodbank.org/food-locator/","","","559-687-2520","","",""
"1588275637-1089","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5396232,%20-119.8313218)"
"1588275637-297","https://ccfoodbank.org/food-locator/","","54120 Hwy 245 Badge  Pinehurst,  CA 93641","","","",""
"1588275637-15","https://ccfoodbank.org/food-locator/","Burton School District/Church of the Nazarene","","","","",""
"1588275637-577","https://ccfoodbank.org/food-locator/","","","559-730-3986","","",""
"1588275637-953","https://ccfoodbank.org/food-locator/","","","","Open Every Monday, 1pm - 3pm","",""
"1588275637-674","https://ccfoodbank.org/food-locator/","","","559-227-5355","","",""
"1588275637-1157","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7501083,%20-119.7108239)"
"1588275637-650","https://ccfoodbank.org/food-locator/","","","559-584-3603","","",""
"1588275637-1081","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7284659,%20-119.732926)"
"1588275637-464","https://ccfoodbank.org/food-locator/","","1050 W. Bush St.  Lemoore,  CA 93245","","","",""
"1588275637-768","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-505","https://ccfoodbank.org/food-locator/","","3200 McCall Ave.  Selma,  CA 93662","","","",""
"1588275637-535","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-417","https://ccfoodbank.org/food-locator/","","501 E Palm.  Exeter,  CA 93221","","","",""
"1588275637-1120","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7100205,%20-119.5567681)"
"1588275637-615","https://ccfoodbank.org/food-locator/","","","559-266-8812","","",""
"1588275637-303","https://ccfoodbank.org/food-locator/","","1028 E. Cleveland Avenue   Madera,  CA 93638","","","",""
"1588275637-647","https://ccfoodbank.org/food-locator/","","","559-396-0097","","",""
"1588275637-313","https://ccfoodbank.org/food-locator/","","129 E. Fantz Ave.  Fresno,  CA 93706","","","",""
"1588275637-1203","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(37.336076,%20-119.656677)"
"1588275637-1314","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.8154055,%20-119.7637235)"
"1588275637-331","https://ccfoodbank.org/food-locator/","","Q St. and 15th St.  Firebaugh,  CA 93622","","","",""
"1588275637-1009","https://ccfoodbank.org/food-locator/","","","","Open 4th Monday, 1:30-4:30pm","",""
"1588275637-81","https://ccfoodbank.org/food-locator/","Fresno Westside SDA","","","","",""
"1588275637-1331","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://ccfoodbank.org/food-locator/#directions"
"1588275637-128","https://ccfoodbank.org/food-locator/","Lifebridge Community Church","","","","",""
"1588275637-1293","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.3298307,%20-119.3081493)"
"1588275637-688","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-643","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-1140","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7791751,%20-119.8072635)"
"1588275637-1221","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5291717,%20-119.2914764)"
"1588275637-1145","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.8153488,%20-119.7998713)"
"1588275637-466","https://ccfoodbank.org/food-locator/","","35576A Tule River Dr.  Springville,  CA 93265","","","",""
"1588275637-361","https://ccfoodbank.org/food-locator/","","980 Gettysburg Ave,  Clovis,  CA 93612","","","",""
"1588275637-531","https://ccfoodbank.org/food-locator/","","39712 Dunlap Road,   Dunlap,  CA 93621","","","",""
"1588275637-337","https://ccfoodbank.org/food-locator/","","32937 Sierra Dr.  Lemon Cove,  CA 93244","","","",""
"1588275637-1090","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5398084,%20-119.83358)"
"1588275637-57","https://ccfoodbank.org/food-locator/","Evangelist Temple COGIC - USDA","","","","",""
"1588275637-177","https://ccfoodbank.org/food-locator/","Rojas-Pierce Park - Neighborhood Market","","","","",""
"1588275637-1100","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.137734,%20-120.3564319)"
"1588275637-888","https://ccfoodbank.org/food-locator/","","","","Open Call for Assistance","",""
"1588275637-1169","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.0066696,%20-120.1249169)"
"1588275637-910","https://ccfoodbank.org/food-locator/","","","","Open 1st Monday, 1pm - 3pm","",""
"1588275637-1172","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.6023682,%20-119.9047732)"
"1588275637-1225","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.5392671,%20-119.8279735)"
"1588275637-44","https://ccfoodbank.org/food-locator/","COS Tulare","","","","",""
"1588275637-1258","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(37.1055325,%20-120.2530079)"
"1588275637-750","https://ccfoodbank.org/food-locator/","","","559-226-4100","","",""
"1588275637-584","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-839","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-1322","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.1390118,%20-120.3613431)"
"1588275637-787","https://ccfoodbank.org/food-locator/","","","559-477-3551","","",""
"1588275637-569","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-980","https://ccfoodbank.org/food-locator/","","","","Open Every Wednesday, 1-3 p.m.","",""
"1588275637-549","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1108","","",""
"1588275637-812","https://ccfoodbank.org/food-locator/","","","","Open Spring Schedule (Select Saturdays) April 18th & 25th, and May 9th
9-10:30am","",""
"1588275637-1126","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.696176,%20-119.5568959)"
"1588275637-426","https://ccfoodbank.org/food-locator/","","13540 S. Henderson Ave.  Caruthers,  CA 93609","","","",""
"1588275637-351","https://ccfoodbank.org/food-locator/","","7272 W. Shaw Ave.  Fresno,  CA 93722","","","",""
"1588275637-730","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-355","https://ccfoodbank.org/food-locator/","","6438 N. Grantland Ave.  Fresno,  CA 93723","","","",""
"1588275637-546","https://ccfoodbank.org/food-locator/","","","559-224-9051","","",""
"1588275637-231","https://ccfoodbank.org/food-locator/","Tipton Casa De Adoracion","","","","",""
"1588275637-1040","https://ccfoodbank.org/food-locator/","","","","Open dates cancelled. Closed until further notice.","",""
"1588275637-416","https://ccfoodbank.org/food-locator/","","2220 Hicks Drive  Selma,  CA 93662","","","",""
"1588275637-232","https://ccfoodbank.org/food-locator/","Traver - KCAP","","","","",""
"1588275637-1144","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7579245,%20-119.7743721)"
"1588275637-58","https://ccfoodbank.org/food-locator/","Extending Hands","","","","",""
"1588275637-454","https://ccfoodbank.org/food-locator/","","2301 Selma St.  Selma,  CA 93662","","","",""
"1588275637-23","https://ccfoodbank.org/food-locator/","Caruthers Church of Christ","","","","",""
"1588275637-295","https://ccfoodbank.org/food-locator/","","3215 East Millcreek Pkwy.  Visalia,  CA 93291","","","",""
"1588275637-206","https://ccfoodbank.org/food-locator/","St. Joseph's Catholic Church- USDA","","","","",""
"1588275637-35","https://ccfoodbank.org/food-locator/","Chapel of Grace - Mobile Pantry","","","","",""
"1588275637-394","https://ccfoodbank.org/food-locator/","","5125 N. Gates Ave.  Fresno,  CA 93722","","","",""
"1588275637-949","https://ccfoodbank.org/food-locator/","","","","Open dates have been cancelled. Closed until further notice.","",""
"1588275637-132","https://ccfoodbank.org/food-locator/","Lutheran Hunger Network","","","","",""
"1588275637-143","https://ccfoodbank.org/food-locator/","Miracles In Comm. Association (Big Lots Shopping Center)","","","","",""
"1588275637-1028","https://ccfoodbank.org/food-locator/","","","","Open 4th Wednesday, 9:30am-12:30pm","",""
"1588275637-1190","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7626865,%20-119.7915933)"
"1588275637-890","https://ccfoodbank.org/food-locator/","","","","Open 2nd Friday, 4pm 6pm","",""
"1588275637-952","https://ccfoodbank.org/food-locator/","","","","Open Monday, 3/30: 9am until food runs out","",""
"1588275637-744","https://ccfoodbank.org/food-locator/","","","559-638-4062","","",""
"1588275637-685","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-252","https://ccfoodbank.org/food-locator/","West Hills College - Lemoore Campus - Mobile Pantry","","","","",""
"1588275637-1329","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.8508754,%20-119.7650878)"
"1588275637-832","https://ccfoodbank.org/food-locator/","","","","Open Closed Pantry","",""
"1588275637-443","https://ccfoodbank.org/food-locator/","","350 Sorenson Ave.  Mendota,  CA 93640","","","",""
"1588275637-571","https://ccfoodbank.org/food-locator/","","","559-992-2572","","",""
"1588275637-679","https://ccfoodbank.org/food-locator/","","","","","",""
"1588275637-362","https://ccfoodbank.org/food-locator/","","364 E. Barstow Ave.   Fresno,  CA 93710","","","",""
"1588275637-1291","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7416974,%20-119.7983771)"
"1588275637-1170","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.756096,%20-119.782343)"
"1588275637-158","https://ccfoodbank.org/food-locator/","Oro Loma - Mobile Pantry","","","","",""
"1588275637-863","https://ccfoodbank.org/food-locator/","","","","Open 4th Thursday, 9:00am -11:30am","",""
"1588275637-1148","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7233244,%20-119.803103)"
"1588275637-781","https://ccfoodbank.org/food-locator/","","","559-224-1947","","",""
"1588275637-359","https://ccfoodbank.org/food-locator/","","4710 N. Polk Ave.  Fresno,  CA 93722","","","",""
"1588275637-862","https://ccfoodbank.org/food-locator/","","","","Open 2nd & 4th Saturday, 8am, - 10am","",""
"1588275637-800","https://ccfoodbank.org/food-locator/","","","","Open dates cancelled. Closed until further notice.","",""
"1588275637-723","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-983","https://ccfoodbank.org/food-locator/","","","","Open 2nd Wednesday, 10am - 1pm","",""
"1588275637-89","https://ccfoodbank.org/food-locator/","Grantland Southern Baptist Church","","","","",""
"1588275637-202","https://ccfoodbank.org/food-locator/","St. Brigid Community Outreach","","","","",""
"1588275637-1211","https://ccfoodbank.org/food-locator/","","","","","Get Directions","https://maps.google.com/maps?daddr=(36.7889018,%20-119.6789837)"
"1588275637-436","https://ccfoodbank.org/food-locator/","","2319 S. Bardell Ave  Fresno,  CA 93706","","","",""
"1588275637-683","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
"1588275637-194","https://ccfoodbank.org/food-locator/","Shepherd's Temple - Neighborhood Market","","","","",""
"1588275637-88","https://ccfoodbank.org/food-locator/","Grace United Methodist Church","","","","",""
"1588275637-312","https://ccfoodbank.org/food-locator/","","23761 Ave Ave.  Ducor,  CA 93218","","","",""
"1588275637-328","https://ccfoodbank.org/food-locator/","","117 E. Lemon Ave.  Fresno,  CA 93706","","","",""
"1588275637-572","https://ccfoodbank.org/food-locator/","","","(559)237-3663 Ext. 1138","","",""
